TypeStay,GuestNationality,Region,Month,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nights stay,Total,All Denmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65902,86040,72683,75196,75527,75381,69259
Nights stay,Total,All Denmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66865,82756,73989,73969,75333,77130,78572
Nights stay,Total,All Denmark,March,146827,137879,162112,144052,119926,211023,152260,157855,164556,163392,327637,179984,192820,387682,193117,251278,554904,234850,313982,216380,281732,330101,254649,165863,287248,159644,211884,135469,105402,191375
Nights stay,Total,All Denmark,April,518698,591407,573070,606489,557462,472598,573875,603196,718173,665270,653136,829512,802521,687710,802628,936828,787083,923175,834799,995004,854108,723524,861584,827378,728060,851907,744771,875334,482096,0
Nights stay,Total,All Denmark,May,1086341,1282526,1225098,1031910,1102436,1103875,1093417,1180579,879451,1043533,1166982,1063390,1329987,1265217,1109268,1356443,1456303,1411401,1364936,1075330,1369493,1257532,1156946,1292073,1253675,1180038,1318237,1109087,940971,0
Nights stay,Total,All Denmark,June,1978297,1662693,1518210,1723856,1543192,1517741,1542028,1354877,1662676,1488925,1364208,1690544,1335758,1314895,1479423,1386496,1549777,1500365,1422397,1785401,1325728,1339440,1539571,1388691,1408264,1495820,1440825,1570749,1216036,0
Nights stay,Total,All Denmark,July,5919197,5081390,5017072,5458360,5130367,5251927,4415101,4557559,4182853,4443645,4492600,4723961,4404502,4111906,4349572,3945056,4212946,4090965,4153835,3959888,3636309,3885369,3953087,3724233,3637703,3498182,3869354,3877944,4255589,0
Nights stay,Total,All Denmark,August,2624088,2237353,2665095,2620115,2370369,2647860,2418822,2542199,2276894,2224252,2171973,2512406,2341668,2309137,2487398,2515706,2255617,2206017,2122787,2035348,1995145,1964476,2069727,2147664,2122813,2072046,2110300,2050612,2255195,0
Nights stay,Total,All Denmark,September,565741,549039,536504,545269,574443,612263,556821,629451,593045,570641,668737,688104,673766,727808,765500,763988,766759,800871,731061,698412,719639,686128,726055,715126,781335,752363,745544,731344,867109,0
Nights stay,Total,All Denmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310740,326195,318110,338335,338855,384397,0
Nights stay,Total,All Denmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108074,96027,99877,98246,99215,104185,0
Nights stay,Total,All Denmark,December,209921,210104,216250,223862,233539,272154,270717,294642,284166,312569,331408,334671,382296,449378,474782,486478,537728,558529,465509,471879,456681,480375,462701,101886,89538,94679,95523,97373,89946,0
Nights stay,Total,Region Hovedstaden,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8450,10360,10974,11376,11319,9714,11191
Nights stay,Total,Region Hovedstaden,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9353,11005,10975,11081,11609,9856,12994
Nights stay,Total,Region Hovedstaden,March,15503,18595,20467,20185,20511,25501,23646,26290,27194,30794,38596,27424,25304,50889,44283,58061,59086,45020,47718,27296,40317,40958,35375,17005,25597,23077,22182,17101,13264,22711
Nights stay,Total,Region Hovedstaden,April,49265,60567,55817,49640,41393,37224,47749,49784,62326,58083,54892,60305,58930,57232,64725,74519,64591,62063,63590,66114,60785,50504,64605,57933,52623,61442,51774,64211,37947,0
Nights stay,Total,Region Hovedstaden,May,105533,110405,91976,79536,80900,79846,85034,88263,73310,85935,91132,85362,98212,94450,95882,107499,113128,100840,97387,83957,97635,92246,87848,93690,93367,89645,102650,89480,74135,0
Nights stay,Total,Region Hovedstaden,June,203127,175684,147394,160674,150108,147430,145572,145736,149022,126624,130353,137722,115126,118086,134306,125000,143148,123560,120655,138461,113223,115398,130871,126378,131448,137337,142742,149756,100009,0
Nights stay,Total,Region Hovedstaden,July,524533,469577,471279,469393,479170,475111,445762,455051,432547,428728,421805,423380,379292,366476,381577,347725,370577,347593,335298,328226,295480,310999,311772,307653,304947,295561,313020,348984,323523,0
Nights stay,Total,Region Hovedstaden,August,277461,237777,246668,241043,242131,276734,246347,248620,238506,226027,205337,226037,209781,211314,218769,217148,206424,185244,182031,174936,179530,184527,214356,204451,204339,206056,211259,201084,185276,0
Nights stay,Total,Region Hovedstaden,September,60681,56320,53561,49231,53647,59503,55681,63335,57465,62770,60018,59723,60140,67084,70093,74225,77324,73207,67575,64855,64661,64477,63996,66218,70988,70458,72538,71855,76744,0
Nights stay,Total,Region Hovedstaden,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33577,32720,33225,29418,28986,31714,0
Nights stay,Total,Region Hovedstaden,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13627,14116,14758,13848,14263,15031,0
Nights stay,Total,Region Hovedstaden,December,31552,26332,25560,30513,29820,34480,33270,33389,37389,45362,42717,35404,48707,66855,67920,63066,70163,73125,51850,61428,61422,63269,58080,11825,12540,13200,13174,12872,13298,0
Nights stay,Total,Region Sjælland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14073,14102,15132,17074,15877,13405,15510
Nights stay,Total,Region Sjælland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13604,15448,16145,16781,14457,15596,16363
Nights stay,Total,Region Sjælland,March,53275,25459,22964,19243,13444,27439,28207,23020,22049,21137,48824,32644,43835,78235,44420,46554,99635,46272,48204,43911,51417,47344,50371,24901,38319,28574,30755,19632,18148,30887
Nights stay,Total,Region Sjælland,April,114134,124033,95507,105851,83410,74007,84712,81368,91262,92512,96205,126038,131514,114348,141830,162362,126752,154885,133065,139213,113550,94632,118980,112114,102104,114346,107809,115235,88414,0
Nights stay,Total,Region Sjælland,May,202106,219825,188649,163576,169416,145839,146024,150339,120308,149790,163895,151864,194374,184474,160669,201416,199882,194517,187828,146990,177464,160878,150813,168041,163157,151828,167788,146185,146486,0
Nights stay,Total,Region Sjælland,June,301472,253342,236742,272690,226243,231220,214735,172563,211335,208821,183563,246056,172106,187750,207617,202968,217539,204231,199187,240688,165369,170618,196358,176043,183097,195704,185888,198375,171914,0
Nights stay,Total,Region Sjælland,July,640473,533640,560392,597947,559309,618964,512202,497318,473479,489971,497877,524934,469449,448097,487979,457685,480697,464836,480446,434778,404179,445361,451823,449899,451183,417328,437967,446467,450568,0
Nights stay,Total,Region Sjælland,August,318234,246180,256674,275661,257466,270418,235554,254767,234124,227695,248638,269743,251829,263073,280844,297868,267464,276443,260434,242854,228920,242286,247050,257315,266371,244873,266130,252385,250902,0
Nights stay,Total,Region Sjælland,September,99304,94616,79256,74525,77996,79340,71709,72675,73423,73230,97248,96925,102795,107985,119104,118932,115154,117783,105736,102287,99493,94268,101777,98975,110633,105283,99824,101957,111335,0
Nights stay,Total,Region Sjælland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44085,44635,39166,39707,40874,46214,0
Nights stay,Total,Region Sjælland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20615,20679,20332,20458,19962,21374,0
Nights stay,Total,Region Sjælland,December,37018,33257,26295,24275,24875,25908,26410,27961,30539,32651,39005,51868,56843,71339,73837,78128,90390,100016,80301,81437,72618,80093,80990,17985,20127,17772,17856,18534,17899,0
Nights stay,Total,Region Syddanmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24011,29307,26702,25874,26621,29811,22810
Nights stay,Total,Region Syddanmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24058,28799,24720,24997,27354,28263,26269
Nights stay,Total,Region Syddanmark,March,42882,33694,35194,26456,32854,79730,43313,41002,39440,40228,106773,55318,51592,118094,45553,67707,206488,75832,118889,83375,106423,119891,92588,70142,125248,60299,90605,54203,41556,64634
Nights stay,Total,Region Syddanmark,April,152947,183188,192315,206641,206214,180401,208958,227708,270131,239548,230231,304330,282308,226965,274069,327327,264921,341187,318784,399040,337178,271146,336416,334698,284425,349323,296299,353901,152933,0
